Category,Product Name,Eco Score
Electronics,MacBook Pro 1255,8
Electronics,iPhone 12 1628,9
Electronics,iPad Air 3688,8
Electronics,Sony WH-1000XM4 4700,4
Electronics,iPhone 12 3973,6
Electronics,iPhone 12 8021,1
Electronics,Dell XPS 13 4317,6
Electronics,Sony WH-1000XM4 8152,2
Electronics,Samsung Galaxy S21 6851,4
Electronics,Dell XPS 13 7545,9
Electronics,iPad Air 1942,1
Electronics,MacBook Pro 9037,4
Electronics,iPhone 12 8177,1
Electronics,Dell XPS 13 3343,8
Electronics,Dell XPS 13 174,10
Electronics,Dell XPS 13 6040,10
Electronics,iPhone 12 8178,3
Electronics,Samsung Galaxy S21 4428,1
Electronics,iPad Air 2457,2
Electronics,Dell XPS 13 5068,8
Electronics,Samsung Galaxy S21 2517,4
Electronics,MacBook Pro 3417,3
Electronics,MacBook Pro 5541,2
Electronics,MacBook Pro 5156,5
Electronics,Samsung Galaxy S21 5374,4
Electronics,Dell XPS 13 5295,9
Electronics,Sony WH-1000XM4 1085,4
Electronics,MacBook Pro 8457,10
Electronics,iPad Air 8160,3
Electronics,Dell XPS 13 7517,6
Electronics,iPhone 12 767,9
Electronics,Dell XPS 13 2656,5
Electronics,MacBook Pro 1329,7
Electronics,iPhone 12 6892,5
Electronics,iPad Air 6618,5
Electronics,iPhone 12 8462,1
Electronics,iPhone 12 318,1
Electronics,Samsung Galaxy S21 1509,6
Electronics,Samsung Galaxy S21 9195,7
Electronics,iPad Air 6392,5
Electronics,Samsung Galaxy S21 2940,2
Electronics,Dell XPS 13 1317,9
Electronics,Sony WH-1000XM4 219,5
Electronics,Dell XPS 13 2362,5
Electronics,Dell XPS 13 5412,4
Electronics,iPad Air 9242,1
Electronics,iPad Air 7189,5
Electronics,Sony WH-1000XM4 8524,8
Electronics,Dell XPS 13 5299,10
Electronics,Sony WH-1000XM4 4202,4
Electronics,Samsung Galaxy S21 9557,1
Electronics,iPad Air 2197,7
Electronics,Samsung Galaxy S21 9582,8
Electronics,MacBook Pro 9888,2
Electronics,MacBook Pro 1442,3
Electronics,Dell XPS 13 1901,9
Electronics,Sony WH-1000XM4 8645,1
Electronics,MacBook Pro 1399,6
Electronics,Sony WH-1000XM4 6006,5
Electronics,Samsung Galaxy S21 3860,6
Electronics,iPhone 12 2877,6
Electronics,iPad Air 3964,4
Electronics,Samsung Galaxy S21 6563,6
Electronics,Dell XPS 13 9659,2
Electronics,Sony WH-1000XM4 4511,2
Electronics,Sony WH-1000XM4 3845,6
Electronics,Samsung Galaxy S21 2758,10
Electronics,Dell XPS 13 5757,9
