product_name,category,material_score,carbon_footprint,packaging
Smartphone - Model 271,electronics,4,2.6430181390012555,4
Smartphone - Model 95,electronics,10,4.937880647622923,4
Smartphone - Model 35,electronics,9,2.089637483845289,2
Smartphone - Model 180,electronics,8,2.444522369578288,3
Smartphone - Model 75,electronics,10,5.968948454052785,1
Smartphone - Model 174,electronics,6,2.7980589301210887,4
Smartphone - Model 67,electronics,10,0.5769499824352429,1
Smartphone - Model 220,electronics,5,1.0856632284846557,2
Smartphone - Model 224,electronics,6,9.452299133687061,3
Smartphone - Model 484,electronics,3,8.468577994718032,1
Smartphone - Model 294,electronics,10,5.240916207731025,3
Smartphone - Model 110,electronics,1,7.336175727205226,5
Smartphone - Model 201,electronics,5,4.113336595431081,3
Smartphone - Model 62,electronics,2,0.7388597536701185,3
Smartphone - Model 106,electronics,9,3.8284430645410144,1
Smartphone - Model 18,electronics,5,7.6431776797954125,1
Smartphone - Model 232,electronics,7,4.858644122571134,1
Smartphone - Model 384,electronics,3,5.142763824618444,4
Smartphone - Model 337,electronics,9,6.953953178834005,1
Smartphone - Model 411,electronics,3,4.790357252240666,1
Smartphone - Model 230,electronics,6,3.4059938201422906,1
Smartphone - Model 497,electronics,2,6.326809362815192,4
Smartphone - Model 468,electronics,7,4.834597441830644,5
Smartphone - Model 341,electronics,9,5.825846725793583,2
Smartphone - Model 399,electronics,3,8.047191586909978,1
Smartphone - Model 354,electronics,6,3.2017284946671594,2
Smartphone - Model 453,electronics,2,0.6523833060339415,4
Smartphone - Model 235,electronics,7,3.7761141644479346,2
Smartphone - Model 390,electronics,4,7.190603169189977,3
Smartphone - Model 259,electronics,5,5.230639568789343,3
Smartphone - Model 213,electronics,3,5.6793716220901285,5
Smartphone - Model 498,electronics,9,3.3532536599998926,2
Smartphone - Model 211,electronics,4,4.286610579007183,5
Smartphone - Model 221,electronics,7,1.7609738489117193,2
Smartphone - Model 138,electronics,5,0.9980333864729264,1
Smartphone - Model 282,electronics,9,8.604284460048726,1
Smartphone - Model 243,electronics,3,0.601628937754169,2
Smartphone - Model 253,electronics,3,7.292045853593166,3
Smartphone - Model 173,electronics,8,3.256359112557313,2
Smartphone - Model 413,electronics,1,1.6763403602003129,3
Smartphone - Model 52,electronics,6,4.660724809731886,2
Smartphone - Model 192,electronics,4,1.1602989173997558,3
Smartphone - Model 27,electronics,1,1.7044765097065935,4
Smartphone - Model 275,electronics,5,4.557911414434004,2
Smartphone - Model 42,electronics,8,0.9005701608706411,5
Smartphone - Model 435,electronics,10,5.46143145410575,2
Smartphone - Model 425,electronics,10,1.0409157520073404,1
Smartphone - Model 15,electronics,4,2.673052608186137,2
Smartphone - Model 450,electronics,1,7.415581612590282,5
Smartphone - Model 92,electronics,4,4.279960380505128,1
