category,product_name,material_score,carbon_footprint,packaging,tip
Clothing,Cotton Shirt,8,3,2,Wash with cold water to save energy.
Gardening,Compost Bin,10,4,3,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,7,2,2,Switch to biodegradable toothbrushes.
Groceries,Reusable Bag,5,6,1,Avoid plastic bags by carrying a reusable one.
Groceries,Reusable Bag,7,3,5,Avoid plastic bags by carrying a reusable one.
Electronics,LED Bulb,10,10,5,Switch to LED bulbs for lower energy usage.
Groceries,Reusable Bag,10,6,2,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,9,6,1,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,8,6,3,Switch to biodegradable toothbrushes.
Toys,Wooden Blocks,10,7,5,Eco-friendly alternative to plastic toys.
Stationery,Pen,10,2,2,Refillable pens reduce plastic waste.
Furniture,Bamboo Chair,8,9,4,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,8,3,5,Replace disposable wipes with reusable ones.
Furniture,Bamboo Chair,6,4,3,Sustainable alternative to plastic furniture.
Household,Bamboo Toothbrush,5,2,4,Switch to biodegradable toothbrushes.
Electronics,LED Bulb,8,9,4,Switch to LED bulbs for lower energy usage.
Gardening,Compost Bin,9,1,5,Convert kitchen waste into compost.
Healthcare,Reusable Cotton Pads,5,3,2,Replace disposable wipes with reusable ones.
Clothing,Cotton Shirt,8,2,5,Wash with cold water to save energy.
Healthcare,Reusable Cotton Pads,7,2,1,Replace disposable wipes with reusable ones.
Clothing,Cotton Shirt,6,5,4,Wash with cold water to save energy.
Automotive,Eco Car Wash Shampoo,8,10,1,Biodegradable car wash soap.
Stationery,Notebook,5,10,3,Use recycled paper notebooks.
Household,Bamboo Toothbrush,7,10,1,Switch to biodegradable toothbrushes.
Sports,Recycled Yoga Mat,7,2,1,Made from sustainable materials.
Furniture,Bamboo Chair,10,10,4,Sustainable alternative to plastic furniture.
Electronics,Laptop,5,2,2,Use energy-saving mode to reduce power consumption.
Automotive,Eco Car Wash Shampoo,10,5,1,Biodegradable car wash soap.
Kitchen,Wooden Spoon,5,4,3,Use biodegradable wooden spoons instead of plastic.
Furniture,Bamboo Chair,9,3,2,Sustainable alternative to plastic furniture.
Electronics,Laptop,9,4,3,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,8,7,1,Convert kitchen waste into compost.
Healthcare,Reusable Cotton Pads,8,2,4,Replace disposable wipes with reusable ones.
Gardening,Compost Bin,7,4,5,Convert kitchen waste into compost.
Kitchen,Wooden Spoon,7,8,4,Use biodegradable wooden spoons instead of plastic.
Gardening,Compost Bin,6,10,2,Convert kitchen waste into compost.
Automotive,Eco Car Wash Shampoo,5,5,4,Biodegradable car wash soap.
Gardening,Compost Bin,9,7,4,Convert kitchen waste into compost.
Automotive,Eco Car Wash Shampoo,6,4,3,Biodegradable car wash soap.
Healthcare,Reusable Cotton Pads,7,6,1,Replace disposable wipes with reusable ones.
Beauty,Lipstick,7,2,2,Opt for refillable lipstick cases to reduce waste.
Healthcare,Reusable Cotton Pads,5,8,5,Replace disposable wipes with reusable ones.
Toys,Wooden Blocks,9,8,5,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,8,2,5,Made from sustainable materials.
Groceries,Reusable Bag,10,6,2,Avoid plastic bags by carrying a reusable one.
Furniture,Bamboo Chair,6,2,3,Sustainable alternative to plastic furniture.
Kitchen,Steel Water Bottle,10,1,4,Refill instead of buying plastic bottles.
Beauty,Lipstick,5,6,5,Opt for refillable lipstick cases to reduce waste.
Groceries,Reusable Bag,8,2,4,Avoid plastic bags by carrying a reusable one.
Groceries,Reusable Bag,8,4,3,Avoid plastic bags by carrying a reusable one.
Stationery,Pen,6,7,3,Refillable pens reduce plastic waste.
Electronics,LED Bulb,8,9,1,Switch to LED bulbs for lower energy usage.
Household,Bamboo Toothbrush,7,5,3,Switch to biodegradable toothbrushes.
Clothing,Handkerchief,7,8,5,Reuse and wash instead of using tissues.
Toys,Wooden Blocks,9,8,3,Eco-friendly alternative to plastic toys.
Kitchen,Wooden Spoon,8,9,4,Use biodegradable wooden spoons instead of plastic.
Kitchen,Wooden Spoon,9,8,2,Use biodegradable wooden spoons instead of plastic.
Sports,Recycled Yoga Mat,5,6,3,Made from sustainable materials.
Sports,Recycled Yoga Mat,5,9,2,Made from sustainable materials.
Furniture,Bamboo Chair,5,7,2,Sustainable alternative to plastic furniture.
Gardening,Compost Bin,7,3,5,Convert kitchen waste into compost.
Gardening,Compost Bin,8,9,3,Convert kitchen waste into compost.
Groceries,Reusable Bag,7,4,3,Avoid plastic bags by carrying a reusable one.
Kitchen,Steel Water Bottle,7,4,1,Refill instead of buying plastic bottles.
Beauty,Lipstick,7,8,5,Opt for refillable lipstick cases to reduce waste.
Furniture,Bamboo Chair,9,10,4,Sustainable alternative to plastic furniture.
Electronics,Laptop,7,8,5,Use energy-saving mode to reduce power consumption.
Automotive,Eco Car Wash Shampoo,7,2,4,Biodegradable car wash soap.
Gardening,Compost Bin,9,10,4,Convert kitchen waste into compost.
Electronics,Laptop,6,3,4,Use energy-saving mode to reduce power consumption.
Groceries,Reusable Bag,5,7,1,Avoid plastic bags by carrying a reusable one.
Stationery,Pen,7,6,1,Refillable pens reduce plastic waste.
Beauty,Lipstick,5,2,3,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,5,3,3,Convert kitchen waste into compost.
Furniture,Bamboo Chair,6,5,2,Sustainable alternative to plastic furniture.
Furniture,Bamboo Chair,8,8,4,Sustainable alternative to plastic furniture.
Groceries,Reusable Bag,6,4,2,Avoid plastic bags by carrying a reusable one.
Kitchen,Wooden Spoon,10,2,5,Use biodegradable wooden spoons instead of plastic.
Electronics,Laptop,6,2,2,Use energy-saving mode to reduce power consumption.
Furniture,Bamboo Chair,7,10,3,Sustainable alternative to plastic furniture.
Stationery,Pen,7,4,4,Refillable pens reduce plastic waste.
Gardening,Compost Bin,7,8,1,Convert kitchen waste into compost.
Healthcare,Reusable Cotton Pads,5,10,5,Replace disposable wipes with reusable ones.
Electronics,Laptop,7,4,3,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,10,6,1,Convert kitchen waste into compost.
Kitchen,Steel Water Bottle,8,5,5,Refill instead of buying plastic bottles.
Household,Bamboo Toothbrush,9,4,3,Switch to biodegradable toothbrushes.
Sports,Recycled Yoga Mat,8,4,2,Made from sustainable materials.
Beauty,Lipstick,6,5,4,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,8,8,4,Convert kitchen waste into compost.
Gardening,Compost Bin,6,3,4,Convert kitchen waste into compost.
Stationery,Notebook,6,2,4,Use recycled paper notebooks.
Groceries,Reusable Bag,8,2,1,Avoid plastic bags by carrying a reusable one.
Gardening,Compost Bin,9,6,3,Convert kitchen waste into compost.
Stationery,Pen,6,5,5,Refillable pens reduce plastic waste.
Sports,Recycled Yoga Mat,9,3,3,Made from sustainable materials.
Kitchen,Steel Water Bottle,7,7,5,Refill instead of buying plastic bottles.
Beauty,Lipstick,9,7,3,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,10,6,4,Switch to biodegradable toothbrushes.
Furniture,Bamboo Chair,10,4,5,Sustainable alternative to plastic furniture.
Beauty,Lipstick,9,7,4,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,7,6,5,Biodegradable car wash soap.
Gardening,Compost Bin,7,3,2,Convert kitchen waste into compost.
Electronics,Laptop,9,10,5,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,8,6,4,Use energy-saving mode to reduce power consumption.
Furniture,Bamboo Chair,7,6,3,Sustainable alternative to plastic furniture.
Gardening,Compost Bin,6,10,4,Convert kitchen waste into compost.
Kitchen,Wooden Spoon,5,9,2,Use biodegradable wooden spoons instead of plastic.
Household,Bamboo Toothbrush,10,4,4,Switch to biodegradable toothbrushes.
Groceries,Reusable Bag,10,3,4,Avoid plastic bags by carrying a reusable one.
Sports,Recycled Yoga Mat,5,8,3,Made from sustainable materials.
Furniture,Bamboo Chair,7,2,4,Sustainable alternative to plastic furniture.
Sports,Recycled Yoga Mat,6,2,2,Made from sustainable materials.
Beauty,Lipstick,5,2,4,Opt for refillable lipstick cases to reduce waste.
Kitchen,Steel Water Bottle,6,10,4,Refill instead of buying plastic bottles.
Household,Bamboo Toothbrush,9,4,5,Switch to biodegradable toothbrushes.
Clothing,Handkerchief,5,9,3,Reuse and wash instead of using tissues.
Healthcare,Reusable Cotton Pads,10,1,1,Replace disposable wipes with reusable ones.
Beauty,Lipstick,8,4,4,Opt for refillable lipstick cases to reduce waste.
Stationery,Pen,7,3,1,Refillable pens reduce plastic waste.
Sports,Recycled Yoga Mat,10,3,2,Made from sustainable materials.
Sports,Recycled Yoga Mat,7,10,3,Made from sustainable materials.
